Player,Tournament,Tournament Rating,Shots,Shot+
"Walstad, S (Walstad)",2022 Baden Masters,10.02,27,116.5079365
"Nordbye, T (Hostmaelingen)",2022 Baden Masters,10.02,12,107.7586207
"Van Den Hurk, T (Gosgens)",2022 Baden Masters,10.02,16,105.625
"Lillebo, M (Hostmaelingen)",2022 Baden Masters,10.02,12,105.5194805
"Vagberg, M (Walstad)",2022 Baden Masters,10.02,28,100
"Hoekmann, L (Gosgens)",2022 Baden Masters,10.02,16,107.165109
"Braenden, M (Walstad)",2022 Baden Masters,10.02,27,100.9287926
"Magan, A (Gosgens)",2022 Baden Masters,10.02,16,98.85057471
"Nedregotten, M (Walstad)",2022 Baden Masters,10.02,28,97.89156627
"Gosgens, W (Gosgens)",2022 Baden Masters,10.02,16,96.46302251
"Buraas, G (Hostmaelingen)",2022 Baden Masters,10.02,12,80.62283737
"Hostmaelingen, L (Hostmaelingen)",2022 Baden Masters,10.02,12,79.3442623
"McMillan, I (Epping)",2022 Pointsbet Invitational,10.03,16,120.123839
"Dunstone, M (Dunstone)",2022 Pointsbet Invitational,10.03,73,115.5963303
"Bottcher, B (Gushue)",2022 Pointsbet Invitational,10.03,52,112.8526646
"Harnden, E (Dunstone)",2022 Pointsbet Invitational,10.03,58,112.2324159
"Fry, R (McEwen)",2022 Pointsbet Invitational,10.03,20,112.3778502
"Harnden, R (Dunstone)",2022 Pointsbet Invitational,10.03,74,109.2485549
"Snyder, A (Dobson)",2022 Pointsbet Invitational,10.03,16,108.3815029
"Carruthers, R (Carruthers)",2022 Pointsbet Invitational,10.03,74,108.3850932
"Jones, J (Jones)",2022 Pointsbet Invitational,10.03,16,108.1761006
"Howard, G (Howard)",2022 Pointsbet Invitational,10.03,36,107.5
"Gunnlaugson, J (Carruthers)",2022 Pointsbet Invitational,10.03,74,107.0121951
"Gallant, B (Jacobs)",2022 Pointsbet Invitational,10.03,52,107.3170732
"Walker, G (Gushue)",2022 Pointsbet Invitational,10.03,58,106.3768116
"Martin, K (Koe)",2022 Pointsbet Invitational,10.03,36,106.2857143
"Lott, C (Dunstone)",2022 Pointsbet Invitational,10.03,74,106.7073171
"Howard, S (Howard)",2022 Pointsbet Invitational,10.03,36,106.4417178
"Hebert, B (Jacobs)",2022 Pointsbet Invitational,10.03,52,105.9659091
"March, T (Howard) ",2022 Pointsbet Invitational,10.03,36,106.3768116
"Neufeld, B (Carruthers)",2022 Pointsbet Invitational,10.03,74,106.116208
"Thiessen, B (Koe)",2022 Pointsbet Invitational,10.03,36,104.9853372
"Kennedy, M (Jacobs)",2022 Pointsbet Invitational,10.03,52,105.1671733
"Njegovan, C (Carruthers)",2022 Pointsbet Invitational,10.03,74,104.5714286
"Gushue, B (Gushue)",2022 Pointsbet Invitational,10.03,54,104.4585987
"Marsh, D (McEwen)",2022 Pointsbet Invitational,10.03,36,103.9660057
"Doering, K (Sluchinski)",2022 Pointsbet Invitational,10.03,20,103.4482759
"Laing, B (McEwen)",2022 Pointsbet Invitational,10.03,20,103.1073446
"Asselin, E (Asselin)",2022 Pointsbet Invitational,10.03,16,103.1746032
"Nichols, M (Gushue)",2022 Pointsbet Invitational,10.03,58,103.0487805
"Van Vonderen, J (Deagle)",2022 Pointsbet Invitational,10.03,20,102.8938907
"Samagalski, D (Carruthers)",2022 Pointsbet Invitational,10.03,74,102.4464832
"Camm, M (Howard)",2022 Pointsbet Invitational,10.03,38,102.1406728
"Tardi, T (Koe)",2022 Pointsbet Invitational,10.03,36,102.0771513
"Mathers, D (Howard)",2022 Pointsbet Invitational,10.03,36,101.5243902
"Chadwick, S (Beuk)",2022 Pointsbet Invitational,10.03,38,101.4164306
"Deagle, N (Deagle)",2022 Pointsbet Invitational,10.03,18,101.3513514
"Koe, K (Koe)",2022 Pointsbet Invitational,10.03,36,101.2345679
"Donovan, M (Smeltzer)",2022 Pointsbet Invitational,10.03,16,100.9146341
"Kurz, K (Calvert)",2022 Pointsbet Invitational,10.03,16,100.619195
"Epping, J (Epping)",2022 Pointsbet Invitational,10.03,37,98.74213836
"Gordon, R (Calvert)",2022 Pointsbet Invitational,10.03,16,97.45042493
"Lind, J (Sturmay)",2022 Pointsbet Invitational,10.03,20,96.51898734
"Small, M (Smeltzer)",2022 Pointsbet Invitational,10.03,16,96.68508287
"Venance, G (Venance)",2022 Pointsbet Invitational,10.03,20,95.58823529
"Schneider, C (Carruthers)",2022 Pointsbet Invitational,10.03,36,94.98432602
"Sperry, R (Deagle)",2022 Pointsbet Invitational,10.03,20,94.44444444
"Phillips, R (Deagle)",2022 Pointsbet Invitational,10.03,20,93.05993691
"McEwen, M (McEwen)",2022 Pointsbet Invitational,10.03,19,92.38410596
"Crete, M (Asselin)",2022 Pointsbet Invitational,10.03,16,92.85714286
"Trepanier, J (Asselin)",2022 Pointsbet Invitational,10.03,16,92.85714286
"Janssen, P (Beuk)",2022 Pointsbet Invitational,10.03,38,91.66666667
"Sturmay, K (Sturmay)",2022 Pointsbet Invitational,10.03,20,91.74311927
"Crouse, T (Smeltzer)",2022 Pointsbet Invitational,10.03,16,91.18541033
"Marsh, K (McEwen)",2022 Pointsbet Invitational,10.03,36,90.59561129
"Ford, C (Smith, G)",2022 Pointsbet Invitational,10.03,16,88.58024691
"Smith, G (Smith, G)",2022 Pointsbet Invitational,10.03,16,86.80555556
"Flasch, C (McEwen)",2022 Pointsbet Invitational,10.03,36,85.03184713
"Rooney, L (Rooney)",2022 Pointsbet Invitational,10.03,16,84.85804416
"Beuk, J (Beuk)",2022 Pointsbet Invitational,10.03,20,83.06709265
"Asselin, F (Asselin) ",2022 Pointsbet Invitational,10.03,16,80.79470199
"Boland, A (Smith, G)",2022 Pointsbet Invitational,10.03,16,78.86435331
"Mitchell, S (Mooibroek)",2022 Pointsbet Invitational,10.03,16,76.48902821
"Young, Z (Smith, G)",2022 Pointsbet Invitational,10.03,16,78.05555556
"Smeltzer, J (Smeltzer) ",2022 Pointsbet Invitational,10.03,16,70.06802721
"Calvert, B (Calvert)",2022 Pointsbet Invitational,10.03,16,70.53291536
"Dunstone, M (Dunstone)",2022 GSOC National,10.59,101,103.9755352
"Bottcher, B (Gushue)",2022 GSOC National,10.59,81,103.3846154
"Harnden, E (Dunstone)",2022 GSOC National,10.59,106,91.31736527
"Fry, R (McEwen)",2022 GSOC National,10.59,60,102.3952096
"Harnden, R (Dunstone)",2022 GSOC National,10.59,102,107.7134986
"Carruthers, R (Carruthers)",2022 GSOC National,10.59,59,92.06349206
